"filename", "language", "YAML", "Dart", "Groovy", "Properties", "Swift", "JSON", "Markdown", "C++", "HTML", "XML", "CMake", "comment", "blank", "total"
"d:\stylish_ecommerce\macos\Runner.xcodeproj\project.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"d:\stylish_ecommerce\macos\Runner.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"d:\stylish_ecommerce\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 4, 13
"d:\stylish_ecommerce\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\stylish_ecommerce\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 1, 69
"d:\stylish_ecommerce\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 1, 344
"d:\stylish_ecommerce\macos\Runner\Info.plist", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 1, 33
"d:\stylish_ecommerce\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\stylish_ecommerce\pubspec.yaml", "YAML", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 13, 132
"d:\stylish_ecommerce\test\widget_test.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 8, 39
"d:\stylish_ecommerce\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 16, 6, 60
"d:\stylish_ecommerce\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"Total", "-", 90, 8965, 101, 8, 58, 248, 26, 95, 38, 8269, 18, 1297, 1567, 20780
